序號,縣市,業者,品項,批號,有效日期
1,基隆市,蔡O彤,益康大豆沙拉油 18L,20270410000407,2027.04.10
2,基隆市,三和行,益康大豆沙拉油 18L,20270410000407,2027.04.10
3,基隆市,聯華食品工業股份有限公司-基隆,一級黃豆油,202604101315,2026.10.04
4,基隆市,榮義盛行,沙拉油-18L(泰山),2027040901,2027.04.09
5,基隆市,信興油行,益康烹調油(調合油),20270413000403,2027.04.13
6,基隆市,佑錡國際有限公司,沙拉油 18L(福壽),C2140426P、C21404260,2027.04.13
6,基隆市,佑錡國際有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
7,臺北市,旭昇雜糧行,沙拉油 18L(福壽),C22104260,2027.04.20
8,臺北市,宏潤食品有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
9,臺北市,耘群有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
10,臺北市,雅培米堤食品有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
11,臺北市,南僑油脂事業股份有限公司,一級黃豆油,315-1150404,115.9.30
12,臺北市,裕興食品有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
12,臺北市,裕興食品有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
13,臺北市,國防部福利事業管理處,沙拉油 18L(福壽),C21404260,2027.04.13
14,臺北市,富暘食品有限公司,健味香油 3L,BL240426L,2028.04.19
15,臺北市,晨皓食品貿易有限公司,益康烹調油(調合油),20270414000403,2027.04.14
16,臺北市,故宮晶華股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
17,臺北市,勤穩貿易有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
18,臺北市,新祥紀食品有限公司,健味香油 3L,BL240426L,2028.04.19
18,臺北市,新祥紀食品有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
18,臺北市,新祥紀食品有限公司,沙拉油－塑桶 3L,C1160426K,2027.04.15
19,臺北市,晶華國際酒店股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
20,臺北市,德諱興業有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
21,臺北市,康達盛通生活事業股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
22,臺北市,隆欣雜糧行(李O憲),沙拉油 18L(福壽),C21604260,2027.04.15
23,臺北市,暉利實業有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
24,臺北市,邢O玲,沙拉油 18L(福壽),C21504260,2027.04.15
25,臺北市,聯友食品免洗有限公司,沙拉油 18L(福壽),C21504260,2027.04.14
25,臺北市,聯友食品免洗有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
26,臺北市,周O青,益康大豆沙拉油 18L,20270410000407,2027.04.10
27,新北市,建秤企業有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
28,新北市,享記食品有限公司,一級黃豆油,315-1150404,115.9.30
29,新北市,金色三麥餐飲股份有限公司,沙拉油 18L(福壽),C2140426P,2027.04.13
29,新北市,金色三麥餐飲股份有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
30,新北市,振農食品有限公司,沙拉油 18L(福壽),C2140426P,2027.04.13
31,新北市,康紀食品有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
32,新北市,巧紳有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
32,新北市,巧紳有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
33,新北市,天成糧行,沙拉油 18L(福壽),C21404260,2027.04.13
34,新北市,大永行銷有限公司,沙拉油 18L(福壽),C2140426P,2027.04.13
35,新北市,豐得國際實業有限公司,健味香油 3L,BL240426L,2028.04.19
36,新北市,立泰食品行,健味香油 3L,BL240426L,2028.04.19
37,新北市,榮樺有限公司,健味香油 3L,BL240426L,2028.04.19
37,新北市,榮樺有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
38,新北市,松和食品有限公司,健味香油 3L,BL240426L,2028.04.19
39,新北市,全台物流 林口全台,金酥耐炸油-18L,2027040801,2027.04.08
40,新北市,安食達食材通路股份有限公司,健味香油 3L,BL240426L,2028.04.19
40,新北市,安食達食材通路股份有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
40,新北市,安食達食材通路股份有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
40,新北市,安食達食材通路股份有限公司,金酥耐炸油-18L,2027040801,2027.04.08
41,新北市,老協珍股份有限公司,益康烹調油(調合油),20270414000403,2027.04.14
42,新北市,津鼎有限公司,健味香油 3L,BL150426L,2028.04.05
42,新北市,津鼎有限公司,健味香油 3L,BL240426L,2028.04.19
43,新北市,許O福,益康烹調油(調合油),20270414000403,2027.04.14
44,新北市,山海全企業有限公司,健味香油 3L,BL150426L,2028.04.05
45,新北市,宏麗食品有限公司,益康烹調油(調合油),20270414000403,2027.04.14
46,新北市,樂晴食品有限公司,益康烹調油(調合油),20270414000403,2027.04.14
47,新北市,菖駿企業社,沙拉油－塑桶 3L,C1140426K,2027.04.13
47,新北市,菖駿企業社,沙拉油 18L(福壽),C21504260,2027.04.15
48,新北市,泰佶食品行,益康大豆沙拉油 18KG,20270413000408,2027.04.13
49,新北市,瞿恩思整合行銷有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
50,新北市,貴族世家企業股份有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
51,新北市,宏鑫食品有限公司,益康大豆沙拉油 18L,20270411000408,2027.04.11
52,新北市,谷倉倉庫,沙拉油-18L(泰山),2027040901,2027.04.09
53,新北市,立倉興業有限公司,益康大豆沙拉油 18L,20270411000408,2027.04.11
54,新北市,利倉米店,沙拉油 18L(福壽),C21604260,2027.04.15
55,新北市,東穎食品實業有限公司,一級黃豆油,202604081315,2026.10.04
56,新北市,吉豐雜糧行,健味香油 3L,BL150426L,2028.04.05
56,新北市,吉豐雜糧行,健味香油 3L,BL240426L,2028.04.19
56,新北市,吉豐雜糧行,沙拉油 18L(福壽),C21504260,2027.04.15
57,新北市,桂冠實業股份有限公司,一級黃豆油,202604101315,2026.10.04
58,新北市,帛盈貿易有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
59,新北市,明光食品有限公司,沙拉油 18L(福壽),C2140426P,2027.04.13
59,新北市,明光食品有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
59,新北市,明光食品有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
59,新北市,明光食品有限公司,沙拉油－塑桶 3L,C1160426K,2027.04.15
60,新北市,尚興榮企業社,益康大豆沙拉油 18L,20270410000407,2027.04.10
61,新北市,明遠雜糧行,益康大豆沙拉油 18L,20270410000407,2027.04.10
62,新北市,豐榆有限公司,健味香油 3L,BL240426L,2028.04.19
62,新北市,豐榆有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
63,新北市,國豐商行有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
64,新北市,路易莎職人咖啡股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
65,新北市,布列德麵包股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
66,新北市,健衛生技有限公司,益康大豆沙拉油 18KG,20270413000408,2027.04.13
67,新北市,大王肉舖店,益康大豆沙拉油 18L,20270411000408,2027.04.11
68,新北市,瓊盛-油脂,金酥耐炸油-18L,2027040801,2027.04.08
68,新北市,瓊盛-油脂,環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
69,新北市,元太興有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
69,新北市,元太興有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
70,新北市,鼎旭發有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
71,新北市,豐益糧行,環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
72,新北市,台灣優良農產運銷有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
73,新北市,名陽食品有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
74,新北市,家品商行,沙拉油 18L(福壽),C21604260,2027.04.15
75,新北市,蘋園實業有限公司,金酥耐炸油-18L,2027040801,2027.04.08
75,新北市,蘋園實業有限公司,環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
76,新北市,楊O仁,沙拉油 18L(福壽),C21604260,2027.04.15
77,新北市,農昌商行,沙拉油 18L(福壽),C2140426P、C21404260、C2160426P、C22104260、C21604260、C21504260,2027.04.13、2027.04.15
77,新北市,農昌商行,沙拉油－塑桶 3L,C1160426K,2027.04.15
78,新北市,龍鋒商行,沙拉油-18L(泰山),2027040901,2027.04.09
79,新北市,華福食品股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
80,新北市,安穀食品行,沙拉油 18L(福壽),C21604260,2027.04.15
81,新北市,孹進企業有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
82,新北市,高聖泰國際企業有限公司,健味香油 3L,BL240426L,2028.04.19
82,新北市,高聖泰國際企業有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
82,新北市,高聖泰國際企業有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
83,新北市,齊魯食品有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
84,新北市,尚健食品有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
85,新北市,穀良食品有限公司,沙拉油-18L(泰山),2027040901,2027.04.09
86,新北市,廣達香食品股份有限公司,一級黃豆油,202604091315,2026.10.04
87,新北市,鴻記燒臘便當快餐店,沙拉油－塑桶 3L,C1160426K,2027.04.15
88,新北市,長福食品有限公司,健味香油 3L,BL240426L,2028.04.19
88,新北市,長福食品有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
89,新北市,旭慶實業有限公司,泰山精選蔬菜油-3L*6,2027072506,2027.07.25
89,新北市,旭慶實業有限公司,泰山花生風味調和油2L*6入,2027100901,2027.10.09
89,新北市,旭慶實業有限公司,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
89,新北市,旭慶實業有限公司,金酥耐炸油-18L,2027040801,2027.04.08
89,新北市,旭慶實業有限公司,沙拉油-18L(泰山),2027040901,2027.04.09
90,新北市,睿頡雜糧行,沙拉油 18L(福壽),C21404260,2027.04.13
90,新北市,睿頡雜糧行,沙拉油 18L(福壽),C21604260,2027.04.15
90,新北市,睿頡雜糧行,沙拉油 18L(福壽),C21404260,2027.04.13
90,新北市,睿頡雜糧行,沙拉油 18L(福壽),C21604260,2027.04.15
91,新北市,禾禾園國際貿易有限公司,沙拉油 18L(福壽),C21504260,2027.04.14
91,新北市,禾禾園國際貿易有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
92,新北市,廣益雜糧行,益康大豆沙拉油 18L,20270410000407,2027.04.10
93,桃園市,大全聯(觀音)中法鑫,泰山精選蔬菜油-3L*6,2027072506,2027.07.25
93,桃園市,大全聯(觀音)中法鑫,泰山好理調合油-2L*6,2027072506,2027.07.25
93,桃園市,大全聯(觀音)中法鑫,泰山花生風味調和油2L*6入,2027100901,2027.10.09
93,桃園市,大全聯(觀音)中法鑫,泰山好理調合油0.6L*24,2027072506,2027.07.25
94,桃園市,均廣定有限公司,健味香油 3L,BL240426L,2028.04.19
95,桃園市,崧泉有限公司,健味香油 3L,BL240426L,2028.04.19
96,桃園市,建樹企業有限公司,健味香油 3L,BL150426L,2028.04.05
